,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
0,LLY,2013,3.43651,safe
1,LLY,2012,3.21448,safe
2,LLY,2014,3.27467,safe
3,LLY,2015,3.77329,safe
4,LLL,2013,1.70626,bankruptcy imminent
5,LLL,2012,1.51766,bankruptcy imminent
6,LLL,2014,1.91064,grey zone
7,LLL,2015,1.68159,bankruptcy imminent
8,INTU,2013,8.42155,safe
9,INTU,2015,9.50245,safe
10,INTU,2014,9.63804,safe
11,INTU,2016,9.06773,safe
12,CAT,2013,1.52442,bankruptcy imminent
13,CAT,2015,1.3446,bankruptcy imminent
14,CAT,2014,1.28481,bankruptcy imminent
15,AMP,2013,0.25231,bankruptcy imminent
16,AMP,2012,0.19905,bankruptcy imminent
17,AMP,2014,0.27771,bankruptcy imminent
18,AMP,2015,0.25987,bankruptcy imminent
19,TDC,2013,5.60982,safe
20,TDC,2012,6.75586,safe
21,TDC,2014,4.14386,safe
22,TDC,2015,1.70282,bankruptcy imminent
23,VRSK,2013,5.01494,safe
24,VRSK,2012,3.74698,safe
25,VRSK,2014,4.8048,safe
26,VRSK,2015,2.69759,grey zone
27,STI,2013,0.24407,bankruptcy imminent
28,STI,2012,0.24227,bankruptcy imminent
29,STI,2014,0.2534,bankruptcy imminent
30,STI,2015,0.26827,bankruptcy imminent
31,CPB,2013,2.02263,grey zone
32,CPB,2015,2.14831,grey zone
33,CPB,2014,2.23813,grey zone
34,CPB,2016,2.69459,grey zone
35,LEG,2013,3.14336,safe
36,LEG,2012,2.88557,grey zone
37,LEG,2014,3.4685,safe
38,LEG,2015,3.89501,safe
39,INTC,2013,3.55002,safe
40,INTC,2015,3.79092,safe
41,INTC,2014,4.37981,safe
42,HPE,2016,0.89987,bankruptcy imminent
43,PFE,2013,2.48815,grey zone
44,PFE,2012,1.9903,grey zone
45,PFE,2014,2.4034,grey zone
46,PFE,2015,2.13131,grey zone
47,MJN,2013,5.43995,safe
48,MJN,2012,4.40711,safe
49,MJN,2014,6.1504,safe
50,MJN,2015,3.82343,safe
51,XRAY,2013,3.06166,safe
52,XRAY,2012,2.5432,grey zone
53,XRAY,2014,3.67506,safe
54,XRAY,2015,4.35325,safe
55,PH,2013,2.8804,grey zone
56,PH,2015,3.35747,safe
57,PH,2014,3.45391,safe
58,PH,2016,3.1075,safe
59,FISV,2013,3.04002,safe
60,FISV,2012,2.16848,grey zone
61,FISV,2014,3.39636,safe
62,FISV,2015,3.67716,safe
63,HRB,2013,2.66483,grey zone
64,HRB,2015,3.47434,safe
65,HRB,2014,2.92704,grey zone
66,HRB,2016,2.21955,grey zone
67,ALL,2013,0.66429,bankruptcy imminent
68,ALL,2012,0.57914,bankruptcy imminent
69,ALL,2014,0.85434,bankruptcy imminent
70,ALL,2015,0.83385,bankruptcy imminent
